date_scraped,listing_type,expose_url,title,street,zipcode,cold_rent,warm_rent,rooms,square_meter,house_type,floor,year_built,object_condition,heating_type,pets_allowed,has_parking
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118877625,Living in Berlin's most trendy and charming quarter,"Chausseestraße 58,","10115 Berlin, Mitte (Mitte)",810,860,1,16,Etagenwohnung,1,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118880193,Living in Berlin's most trendy and charming quarter,"Boyenstraße 31,","10115 Berlin, Mitte (Mitte)",780,830,1,14,Etagenwohnung,2,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118117114,Modern apartment close to central station in a popular and trendy neighborhood,"Klara Franke Straße 12,","10557 Berlin, Tiergarten (Tiergarten)",780,830,1,18,Etagenwohnung,4,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117004465,Modern apartment close to central station in a popular and trendy neighborhood,"Klara Franke Straße 16,","10557 Berlin, Tiergarten (Tiergarten)",740,790,1,16,Etagenwohnung,3,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117362372,"Little Hideaway, close to Diplomatic Quarter (WE 7-1.07)","Genthiner Str. 46,","10785 Berlin, Tiergarten (Tiergarten)",890,890,1,"24,69",,1,2019,Erstbezug,Fernwärme,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117362799,Business Apartment nahe Berliner Diplomatenviertel WE 60 (2.02),"Genthiner Str. 44,","10785 Berlin, Tiergarten (Tiergarten)",890,890,1,"25,62",,1,2019,Erstbezug,Fernwärme,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117371934,Modern apartment close to central station in a popular and trendy neighborhood,"Klara Franke Straße 8,","10557 Berlin, Tiergarten (Tiergarten)",780,830,1,21,Etagenwohnung,5,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117583251,Erstbezug zwischen Spree und Tiergarten,"Altonaer Str. 27,","10555 Berlin, Tiergarten (Tiergarten)",1610,2150,3,87,Erdgeschosswohnung,,2020,Erstbezug,Fußbodenheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117631711,zentral gelegenes Mikroapartment*Neubau*EBK*Parkett*Balkon*ruhige Lage in Berlin-Mitte,"Spenerstraße 10,","10557 Berlin, Tiergarten (Tiergarten)",801,899,1,28,,,2019,Erstbezug,Fußbodenheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117791121,Altersgerechte Wohnung ab 60 Jahre ! +++WBS erforderlich+++,"Ackerstraße 116A,","13355 Berlin, Wedding (Wedding)","244,54","413,21",1,"38,51",,2 von 6,1974,Saniert,,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117839054,Wohnen in der beliebten City-West?! *Möbliertes Apartment*,"Derfflinger Str. 22A,","10785 Berlin, Tiergarten (Tiergarten)",1880,2130,3,90,Etagenwohnung,,2018,Gepflegt,Fernwärme,Nach Vereinbarung,Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117872691,Living in Berlin's most trendy and charming quarter,"Boyenstraße 31,","10115 Berlin, Mitte (Mitte)",640,690,1,10,Etagenwohnung,3,,Modernisiert,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118111998,Studio nahe Potsdamer Platz WE 50 (1.50),"Genthiner Straße 46,","10785 Berlin, Tiergarten (Tiergarten)",850,850,1,25,Etagenwohnung,5 von 6,2019,Erstbezug,Zentralheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118112585,Singlewohnung in Kreuzberg - Wohnen nähe Checkpoint Charlie!,"Wilhelmstr. 15,","10963 Berlin, Kreuzberg (Kreuzberg)","285,74","425,74",1,38,Etagenwohnung,3,1966,Renovierungsbedürftig,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/110648158,NEUBAU-ERSTBEZUG am Maybachufer mit Wasserblick!,"Maybachufer 38,","12047 Berlin, Neukölln (Neukölln)",2460,2995,4,153,Etagenwohnung,1 von 6,2018,Erstbezug,Fernwärme,Nach Vereinbarung,Garage
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/112091206,"4,5 Zimmerwohnung Dachgeschoss mit 48 qm großer Terrasse - auch für eine WG - Prenzlauer Berg","Erich-Weinert-Straße 142-144,","10409 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1995,2290,4,134,Dachgeschoss,6 von 6,1999,,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/113704438,LIVESTREAM-Besichtigungen - Vom MORGENMANTEL direkt in den ARZTKITTEL! Wohnen neben der Charité!!!,"Luisenstraße 50,","10117 Berlin, Mitte (Mitte)",1450,"1817,20",4,102,Etagenwohnung,,1996,,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/115452945,LIVESTREAM-Besichtigungen - Berlin-MITTE -MITte -mitte...zentraler geht nimmer,"Luisenstraße 52,","10117 Berlin, Mitte (Mitte)","1195,04","1465,62",3,"75,16",Dachgeschoss,,1996,,Zentralheizung,Nach Vereinbarung,
